character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,Weight_char1,Gravity_char1,Run Maximum Velocity_char1,Walk Maximum Velocity_char1,Maximum Horizontal Air Speed_char1,Maximum Fall Speed_char1,Dash Initial Velocity_char1,Maximum Air Acceleration_char1,Weight_char2,Gravity_char2,Run Maximum Velocity_char2,Walk Maximum Velocity_char2,Maximum Horizontal Air Speed_char2,Maximum Fall Speed_char2,Dash Initial Velocity_char2,Maximum Air Acceleration_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff,matchup_binary
cloud,ken,9,6,15,0.6,Cloud,Ken,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,-3,-1,2,-1,-1,29,-6,10,4,-1.0,-3.0,-0.021999999999999992,0.4069999999999998,0.33000000000000007,0.03499999999999992,0.07999999999999985,0.20900000000000007,0.035,Char1_Wins
byleth,link,4,4,8,0.5,Byleth,Link,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,,,,,,,,,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,-7,0,-2,3,-3,-7,-1,7,1,0.0,,,,,,,,,Char1_Wins
ken,link,7,6,13,0.5384615384615384,Ken,Link,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,103.0,0.12,1.76,0.825,1.12,1.6,1.936,0.035,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,-1,-1,0,10,-2,-22,0,-7,-3,1.0,-1.0,0.023999999999999994,0.22599999999999998,-0.42200000000000015,0.19600000000000006,0.0,-0.04400000000000004,-0.015,Char1_Wins
mario,pokemon trainer,22,7,29,0.7586206896551724,Mario,Pokemon Trainer,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,,,,,,,,,2,-3,0,0,-1,6,3,-22,-2,-1.0,,,,,,,,,Char1_Wins
mario,toon link,10,4,14,0.7142857142857143,Mario,Toon Link,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,,,,,,,,,7,-2,0,9,-3,0,-7,-2,-3,0.0,,,,,,,,,Char1_Wins
pikachu,villager,10,9,19,0.5263157894736842,Pikachu,Villager,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,45,92,5,3,21,5,126,20,37,2,6.0,4500,3.776,52.09,3.840683333,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,,,,,,,,,-13,4,3,6,-2,19,-11,1,0,2.0,,,,,,,,,Char1_Wins
pikachu,ryu,4,3,7,0.5714285714285714,Pikachu,Ryu,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,103.0,0.12,1.6,0.75,1.12,1.6,1.76,0.035,-24,5,3,-8,0,17,0,36,1,5.0,-24.0,-0.024999999999999994,0.43900000000000006,0.552,-0.16300000000000014,-0.050000000000000044,0.21999999999999997,0.065,Char1_Wins
greninja,luigi,2,4,6,0.3333333333333333,Greninja,Luigi,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,,,,,,,,,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,-9,2,5,-12,0,13,8,7,3,-8.0,,,,,,,,,Char2_Wins
ridley,toon link,5,4,9,0.5555555555555556,Ridley,Toon Link,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,107.0,0.09,2.2,1.1,1.05,1.78,1.8,0.07,,,,,,,,,16,-2,0,2,-2,-4,-7,6,-1,-2.0,,,,,,,,,Char1_Wins
greninja,ridley,9,5,14,0.6428571428571429,Greninja,Ridley,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,,,,,,,,,107.0,0.09,2.2,1.1,1.05,1.78,1.8,0.07,-19,1,3,1,-1,-9,2,-7,1,-1.0,,,,,,,,,Char1_Wins
luigi,toon link,3,2,5,0.6,Luigi,Toon Link,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,,,,,,,,,6,-3,-2,15,-3,-26,-13,-8,-3,5.0,,,,,,,,,Char1_Wins
diddy kong,mario,13,12,25,0.52,Diddy Kong,Mario,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,,,,,,,,,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,-8,2,1,-7,2,3,-6,-7,1,3.0,,,,,,,,,Char1_Wins
samus,zero suit samus,8,9,17,0.4705882352941176,Samus,Zero Suit Samus,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,108.0,0.075,1.654,1.115,1.103,1.33,1.87,0.09,,,,,,,,,28,-3,-4,-3,3,23,12,-4,-1,0.0,,,,,,,,,Char2_Wins
diddy kong,ryu,6,2,8,0.75,Diddy Kong,Ryu,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,,,,,,,,,103.0,0.12,1.6,0.75,1.12,1.6,1.76,0.035,-13,2,3,-8,1,13,-1,7,1,4.0,,,,,,,,,Char1_Wins
lucario,toon link,3,5,8,0.375,Lucario,Toon Link,41,92,7,6,30,3,126,14,7,2,7.0,4500,5.058,44.84,4.481316667,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,92.0,0.084,1.705,1.103,1.281,1.68,2.255,0.09,,,,,,,,,1,1,1,5,-2,-12,-7,-11,-2,3.0,,,,,,,,,Char2_Wins
link,pikachu,15,13,28,0.5357142857142857,Link,Pikachu,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,25,-4,-2,-2,2,-12,14,-24,2,-5.0,25.0,0.0010000000000000009,-0.5050000000000001,-0.05499999999999994,-0.03299999999999992,0.050000000000000044,0.0,-0.05,Char1_Wins
link,samus,8,2,10,0.8,Link,Samus,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,108.0,0.075,1.654,1.115,1.103,1.33,1.87,0.09,-4,-1,0,2,0,-15,-6,-9,2,-1.0,-4.0,0.021000000000000005,-0.11999999999999988,0.13200000000000012,-0.17899999999999994,0.27,0.10999999999999988,-0.039999999999999994,Char1_Wins
byleth,pokemon trainer,7,4,11,0.6363636363636364,Byleth,Pokemon Trainer,75,97,5,2,28,2,126,22,21,5,3.0,24700,6.371,42.46,3.583966667,33,96,7,5,34,3,132,11,38,3,5.0,19100,7.608,46.59,4.993883333,,,,,,,,,,,,,,,,,1,-2,-3,-6,-1,-6,11,-17,2,-2.0,,,,,,,,,Char1_Wins
palutena,toon link,20,13,33,0.6060606060606061,Palutena,Toon Link,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,,,,,,,,,0,-1,1,4,-2,-2,5,9,-1,1.0,,,,,,,,,Char1_Wins
palutena,ridley,12,7,19,0.631578947368421,Palutena,Ridley,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,107.0,0.09,2.2,1.1,1.05,1.78,1.8,0.07,-16,1,1,2,0,2,12,3,0,3.0,-16.0,0.03,-0.12300000000000022,0.17099999999999982,-0.050000000000000044,-0.22999999999999998,0.2350000000000001,0.045,Char1_Wins
bayonetta,ganondorf,7,3,10,0.7,Bayonetta,Ganondorf,63,81,8,4,40,3,153,13,18,2,7.0,13700,7.458,56.0,5.072666667,23,118,1,2,26,1,133,10,12,2,5.0,14000,1.467,45.5,2.4744,81.0,0.12,1.76,0.945,1.019,1.77,1.936,0.095,,,,,,,,,-37,7,2,14,2,20,3,6,0,2.0,,,,,,,,,Char1_Wins
zelda,zero suit samus,6,7,13,0.4615384615384615,Zelda,Zero Suit Samus,17,85,7,3,22,5,122,22,16,2,7.0,13200,3.745,52.45,3.349733333,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,85.0,0.071,1.43,0.914,1.092,1.35,1.958,0.065,,,,,,,,,5,-2,-5,-4,3,-3,5,-11,-1,3.0,,,,,,,,,Char2_Wins
ganondorf,link,11,4,15,0.7333333333333333,Ganondorf,Link,23,118,1,2,26,1,133,10,12,2,5.0,14000,1.467,45.5,2.4744,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,,,,,,,,,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,14,-4,-2,1,-4,0,-13,-2,-2,2.0,,,,,,,,,Char1_Wins
cloud,ness,28,17,45,0.6222222222222222,Cloud,Ness,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,6,-2,3,8,-2,6,-8,-3,1,-6.0,6.0,0.021000000000000005,0.5579999999999998,0.248,0.14800000000000013,0.3699999999999999,0.31899999999999995,-0.03,Char1_Wins
greninja,mario,9,9,18,0.5,Greninja,Mario,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,,,,,,,,,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,-10,1,3,-6,0,-13,2,1,3,-3.0,,,,,,,,,Char1_Wins
villager,wolf,14,5,19,0.7368421052631579,Villager,Wolf,45,92,5,3,21,5,126,20,37,2,6.0,4500,3.776,52.09,3.840683333,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,,,,,,,,,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,0,0,-2,-11,3,-3,3,15,-1,4.0,,,,,,,,,Char1_Wins
link,mario,11,3,14,0.7857142857142857,Link,Mario,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,6,1,-1,-9,3,-5,9,-2,3,-1.0,6.0,0.009000000000000008,-0.22599999999999998,0.09200000000000008,-0.2839999999999999,0.10000000000000009,0.04400000000000004,-0.03,Char1_Wins
ness,ryu,8,2,10,0.8,Ness,Ryu,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,103.0,0.12,1.6,0.75,1.12,1.6,1.76,0.035,-9,1,0,-9,1,6,16,18,3,6.0,-9.0,-0.043,0.008999999999999897,0.15700000000000003,-0.11300000000000021,-0.29000000000000004,0.06600000000000006,0.065,Char1_Wins
mario,snake,25,15,40,0.625,Mario,Snake,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-8,-3,2,14,-3,-1,12,4,0,-6.0,-8.0,0.006999999999999992,0.16500000000000004,0.273,0.22099999999999997,-0.22999999999999998,0.17599999999999993,0.05,Char1_Wins
mario,ness,25,5,30,0.8333333333333334,Mario,Ness,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,94.0,0.077,1.609,0.907,1.007,1.31,1.826,0.1,4,-1,2,8,-2,4,-11,-4,-3,-5.0,4.0,0.009999999999999995,0.15100000000000002,0.248,0.20100000000000007,0.18999999999999995,0.10999999999999988,-0.020000000000000004,Char1_Wins
snake,zero suit samus,60,41,101,0.594059405940594,Snake,Zero Suit Samus,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,,,,,,,,,26,-2,-5,-6,3,14,-15,-15,-2,6.0,,,,,,,,,Char1_Wins
shulk,snake,17,14,31,0.5483870967741935,Shulk,Snake,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,97.0,0.098,1.672,1.155,1.113,1.58,1.87,0.05,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,-9,0,1,8,-4,-18,11,29,4,-2.0,-9.0,0.018000000000000002,0.07699999999999996,0.273,0.126,-0.1499999999999999,0.1100000000000001,0.020000000000000004,Char1_Wins
sonic,wolf,12,7,19,0.631578947368421,Sonic,Wolf,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,-6,3,4,-2,-1,10,-3,11,-1,7.0,-6.0,-0.04000000000000001,2.31,0.236,-0.07299999999999995,-0.15000000000000013,0.2200000000000002,-0.039999999999999994,Char1_Wins
king dedede,link,10,6,16,0.625,King Dedede,Link,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,,,,,,,,,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,23,2,-2,3,-1,-11,5,12,1,7.0,,,,,,,,,Char1_Wins
ganondorf,greninja,5,6,11,0.4545454545454545,Ganondorf,Greninja,23,118,1,2,26,1,133,10,12,2,5.0,14000,1.467,45.5,2.4744,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,,,,,,,,,,,,,,,,,30,-4,-6,-2,-1,8,-6,-5,-2,4.0,,,,,,,,,Char2_Wins
link,sonic,26,20,46,0.5652173913043478,Link,Sonic,3,104,5,4,25,5,133,23,14,4,3.0,18000,5.143,48.39,4.2915,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,104.0,0.096,1.534,1.247,0.924,1.6,1.98,0.05,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,18,-3,-5,-5,4,-6,9,-19,2,-6.0,18.0,0.006000000000000005,-2.316,-0.19699999999999984,-0.2839999999999999,-0.04999999999999982,-0.33000000000000007,0.0,Char1_Wins
greninja,villager,5,4,9,0.5555555555555556,Greninja,Villager,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,45,92,5,3,21,5,126,20,37,2,6.0,4500,3.776,52.09,3.840683333,,,,,,,,,,,,,,,,,-4,0,5,7,-3,-1,-4,-20,2,-5.0,,,,,,,,,Char1_Wins
cloud,mario,14,14,28,0.5,Cloud,Mario,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,2,-1,1,0,0,2,3,1,4,-1.0,2.0,0.01100000000000001,0.4069999999999998,0.0,-0.052999999999999936,0.17999999999999994,0.20900000000000007,-0.009999999999999995,Char1_Wins
ryu,sonic,6,1,7,0.8571428571428571,Ryu,Sonic,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,103.0,0.12,1.6,0.75,1.12,1.6,1.76,0.035,86.0,0.09,3.85,1.444,1.208,1.65,2.31,0.05,17,-4,-6,5,2,-11,-5,-31,-1,-6.0,17.0,0.03,-2.25,-0.694,-0.08799999999999986,-0.04999999999999982,-0.55,-0.015,Char1_Wins
mario,villager,5,4,9,0.5555555555555556,Mario,Villager,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,45,92,5,3,21,5,126,20,37,2,6.0,4500,3.776,52.09,3.840683333,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,,,,,,,,,6,-1,2,13,-3,12,-6,-21,-1,-2.0,,,,,,,,,Char1_Wins
mario,palutena,21,8,29,0.7241379310344828,Mario,Palutena,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,7,-1,-1,5,-1,2,-12,-11,-2,-1.0,7.0,-0.033,-0.31699999999999995,-0.11599999999999988,0.20799999999999996,-0.050000000000000044,-0.0990000000000002,-0.035,Char1_Wins
roy,yoshi,23,15,38,0.6052631578947368,Roy,Yoshi,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,5,104,7,6,29,2,133,13,18,2,5.0,21400,8.496,50.61,3.037116667,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,104.0,0.08,2.046,1.208,1.344,1.29,1.98,0.098,-9,-3,1,2,-1,-11,6,-7,2,-2.0,-9.0,0.034,0.0990000000000002,0.0,-0.04200000000000004,0.51,0.2200000000000002,-0.048,Char1_Wins
luigi,wolf,14,6,20,0.7,Luigi,Wolf,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,5,-2,-2,8,0,-17,-9,-12,-2,7.0,5.0,-0.047,0.10999999999999988,-0.07400000000000007,-0.5109999999999999,-0.48,-0.2749999999999999,-0.015,Char1_Wins
diddy kong,yoshi,19,10,29,0.6551724137931034,Diddy Kong,Yoshi,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,5,104,7,6,29,2,133,13,18,2,5.0,21400,8.496,50.61,3.037116667,,,,,,,,,104.0,0.08,2.046,1.208,1.344,1.29,1.98,0.098,-14,-1,0,-2,2,8,-5,-9,0,2.0,,,,,,,,,Char1_Wins
ike,palutena,31,7,38,0.8157894736842105,Ike,Palutena,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,17,1,-3,0,-2,-18,-21,-19,2,-4.0,16.0,-0.027999999999999997,-0.5700000000000001,-0.3589999999999999,0.1339999999999999,0.09999999999999987,-0.2200000000000002,-0.065,Char1_Wins
joker,young link,7,7,14,0.5,Joker,Young Link,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,,,,,,,,,,,,,,,,,5,2,0,-3,-2,-13,-10,32,0,0.0,,,,,,,,,Char1_Wins
bayonetta,ike,7,6,13,0.5384615384615384,Bayonetta,Ike,63,81,8,4,40,3,153,13,18,2,7.0,13700,7.458,56.0,5.072666667,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,81.0,0.12,1.76,0.945,1.019,1.77,1.936,0.095,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,-27,2,1,11,2,35,8,10,-3,6.0,-26.0,0.027999999999999997,0.2530000000000001,0.03299999999999992,-0.11499999999999999,0.1200000000000001,0.121,0.045,Char1_Wins
ike,wolf,19,14,33,0.5757575757575758,Ike,Wolf,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,92.0,0.13,1.54,1.208,1.281,1.8,2.09,0.09,16,1,-2,-3,-1,-11,-12,-14,2,-1.0,15.0,-0.038000000000000006,-0.03300000000000014,-0.29599999999999993,-0.14700000000000002,-0.15000000000000013,-0.2749999999999999,-0.039999999999999994,Char1_Wins
ike,joker,10,7,17,0.5882352941176471,Ike,Joker,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,,,,,,,,,15,-2,-2,1,-2,-17,-3,-33,1,-6.0,,,,,,,,,Char1_Wins
mario,mewtwo,10,3,13,0.7692307692307693,Mario,Mewtwo,1,98,4,5,34,2,138,14,16,1,4.0,19500,7.844,47.58,2.920816667,24,78,6,7,28,4,128,17,20,5,3.0,8700,4.354,46.45,4.197883333,98.0,0.087,1.76,1.155,1.208,1.5,1.936,0.08,79.0,0.082,2.255,1.26,1.313,1.55,2.255,0.07,20,-2,-2,6,-2,10,-3,-4,-4,1.0,19.0,0.0049999999999999906,-0.4949999999999999,-0.10499999999999998,-0.10499999999999998,-0.050000000000000044,-0.31899999999999995,0.009999999999999995,Char1_Wins
mewtwo,roy,6,1,7,0.8571428571428571,Mewtwo,Roy,24,78,6,7,28,4,128,17,20,5,3.0,8700,4.354,46.45,4.197883333,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,79.0,0.082,2.255,1.26,1.313,1.55,2.255,0.07,95.0,0.114,2.145,1.208,1.302,1.8,2.2,0.05,-17,2,0,-3,3,6,-2,9,1,0.0,-16.0,-0.032,0.10999999999999988,0.052000000000000046,0.010999999999999899,-0.25,0.054999999999999716,0.020000000000000004,Char1_Wins
mewtwo,young link,6,2,8,0.75,Mewtwo,Young Link,24,78,6,7,28,4,128,17,20,5,3.0,8700,4.354,46.45,4.197883333,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,79.0,0.082,2.255,1.26,1.313,1.55,2.255,0.07,,,,,,,,,-10,0,2,-3,-1,-20,-1,11,1,-4.0,,,,,,,,,Char1_Wins
palutena,yoshi,41,32,73,0.5616438356164384,Palutena,Yoshi,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,5,104,7,6,29,2,133,13,18,2,5.0,21400,8.496,50.61,3.037116667,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,104.0,0.08,2.046,1.208,1.344,1.29,1.98,0.098,-13,-2,0,0,1,3,13,9,1,0.0,-13.0,0.039999999999999994,0.03100000000000014,0.06299999999999994,-0.3440000000000001,0.26,0.05500000000000016,0.017,Char1_Wins
palutena,young link,24,11,35,0.6857142857142857,Palutena,Young Link,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,22,88,6,5,31,5,148,18,9,4,7.0,11400,6.694,45.01,3.596683333,91.0,0.12,2.077,1.271,1.0,1.55,2.035,0.115,,,,,,,,,3,-1,1,-2,-2,-12,8,18,-1,-2.0,,,,,,,,,Char1_Wins
ike,snake,34,13,47,0.723404255319149,Ike,Snake,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,107.0,0.092,1.507,0.912,1.134,1.65,1.815,0.05,106.0,0.08,1.595,0.882,0.987,1.73,1.76,0.03,2,-1,0,9,-4,-21,3,-4,4,-9.0,1.0,0.011999999999999997,-0.08800000000000008,0.030000000000000027,0.1469999999999999,-0.08000000000000007,0.05499999999999994,0.020000000000000004,Char1_Wins
diddy kong,ganondorf,7,6,13,0.5384615384615384,Diddy Kong,Ganondorf,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,23,118,1,2,26,1,133,10,12,2,5.0,14000,1.467,45.5,2.4744,,,,,,,,,,,,,,,,,-28,5,4,1,3,8,-2,-3,0,2.0,,,,,,,,,Char1_Wins
cloud,luigi,13,8,21,0.6190476190476191,Cloud,Luigi,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,100.0,0.098,2.167,1.155,1.155,1.68,2.145,0.07,97.0,0.083,1.65,1.134,0.77,1.32,1.815,0.075,3,0,3,-6,0,28,9,7,4,-6.0,3.0,0.015,0.5169999999999999,0.02100000000000013,0.385,0.3599999999999999,0.33000000000000007,-0.0049999999999999906,Char1_Wins
king k. rool,pikachu,7,2,9,0.7777777777777778,King K. Rool,Pikachu,67,133,5,3,29,4,130,17,11,3,10.0,24800,2.877,50.62,2.2376,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,,,,,,,,,79.0,0.095,2.039,1.302,0.957,1.55,1.98,0.1,54,-4,-3,2,1,-15,8,-27,1,2.0,,,,,,,,,Char1_Wins
