character_1,character_2,char1_winrate,matchup_binary,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff,Weight_diff,Gravity_diff,Run Maximum Velocity_diff,Walk Maximum Velocity_diff,Maximum Horizontal Air Speed_diff,Maximum Fall Speed_diff,Dash Initial Velocity_diff,Maximum Air Acceleration_diff
mario,steve,0.6666666666666666,Char1_Wins,6,-4,4,-1,-1,14,1,5,-1,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yoshi,yoshi,0.44,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terry,yoshi,0.5454545454545454,Char1_Wins,4,-4,-3,9,0,-8,10,-9,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayonetta,sheik,0.8,Char1_Wins,3,0,-4,12,1,24,-1,-16,1,6.0,3.0,-0.03,-0.6599999999999999,-0.525,-0.1360000000000001,0.02,-0.242,0.005
ryu,sheik,1.0,Char1_Wins,25,-4,-5,7,1,-1,-5,-32,0,2.0,25.0,-0.03,-0.8199999999999998,-0.72,-0.0349999999999999,-0.1499999999999999,-0.4179999999999999,-0.0549999999999999
bayonetta,steve,0.6,Char1_Wins,-11,0,3,5,0,29,0,7,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonic,steve,0.2857142857142857,Char2_Wins,-6,0,8,-5,-2,15,1,22,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,roy,0.5,Char1_Wins,12,0,-2,-4,2,12,-5,13,-1,-1.0,12.0,-0.024,0.0550000000000001,-0.1079999999999998,-0.252,-0.02,-0.4000000000000001,0.02
shulk,zelda,0.5714285714285714,Char1_Wins,12,0,1,6,-4,-1,-9,25,3,1.0,12.0,0.027,0.242,0.241,0.0209999999999999,0.2299999999999999,-0.0879999999999998,-0.015
joker,steve,0.75,Char1_Wins,1,0,4,-7,0,11,-5,30,2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,shulk,0.696969696969697,Char1_Wins,-4,1,1,0,2,14,-5,0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roy,shulk,0.5384615384615384,Char1_Wins,-2,-3,3,3,0,1,6,-30,-1,-5.0,-2.0,0.016,0.4730000000000001,0.0529999999999999,0.189,0.2199999999999999,0.33,0.0
inkling,roy,0.6176470588235294,Char1_Wins,-1,5,-1,2,2,7,-9,27,-3,2.0,-1.0,-0.027,-0.2199999999999999,-0.074,-0.094,-0.2199999999999999,-0.0820000000000003,0.03
shulk,steve,0.6666666666666666,Char1_Wins,5,-1,3,-7,-2,-3,0,30,3,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkling,shulk,0.4705882352941176,Char2_Wins,-3,2,2,5,2,8,-3,-3,-4,-3.0,-3.0,-0.011,0.2530000000000001,-0.0210000000000001,0.0949999999999999,0.0,0.2479999999999997,0.03
littlemac,sonic,0.4444444444444444,Char2_Wins,1,-7,-1,-5,0,-23,11,-29,0,1.0,1.0,0.0,-1.386,-0.058,0.0,0.3,0.0550000000000001,-0.01
ryu,wii fit trainer,0.6,Char1_Wins,7,-1,-2,4,-1,-25,-17,-4,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
littlemac,ridley,0.6666666666666666,Char1_Wins,-20,-3,3,-2,-2,-18,11,-20,-1,8.0,-20.0,0.0,0.2639999999999998,0.2859999999999998,0.1579999999999999,0.1699999999999999,0.5650000000000002,-0.03
littlemac,shulk,0.5,Char1_Wins,-10,-6,4,-3,0,-5,12,-37,-3,2.0,-10.0,-0.008,0.792,0.2309999999999998,0.0949999999999999,0.3699999999999999,0.4950000000000001,-0.01
kirby,wii fit trainer,0.6,Char1_Wins,-17,-2,-2,0,-3,-9,-18,14,1,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
littlemac,ryu,1.0,Char1_Wins,-16,-3,5,-10,-2,-12,16,2,1,7.0,-16.0,-0.03,0.8639999999999999,0.6359999999999999,0.0879999999999998,0.3499999999999998,0.6050000000000002,0.0049999999999999
pichu,sonic,0.6,Char1_Wins,-24,1,-4,1,2,-1,-2,0,0,-1.0,-24.0,0.05,-1.958,-0.1419999999999999,-0.179,0.25,-0.33,0.05
ryu,shulk,0.5714285714285714,Char1_Wins,6,-3,-1,7,2,7,-4,-39,-4,-5.0,6.0,0.0219999999999999,-0.0719999999999998,-0.405,0.0070000000000001,0.02,-0.1100000000000001,-0.015
cloud,littlemac,0.7647058823529411,Char1_Wins,13,2,-2,9,1,24,-8,13,3,-7.0,13.0,0.008,-0.2970000000000001,-0.2309999999999998,-0.0529999999999999,-0.27,-0.2200000000000002,0.03
isabelle,pichu,0.7142857142857143,Char1_Wins,26,-4,-2,-3,2,-4,9,-12,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shulk,sonic,0.7222222222222222,Char1_Wins,11,-1,-5,-2,0,-18,-1,8,3,-1.0,11.0,0.008,-2.178,-0.2889999999999999,-0.0949999999999999,-0.0699999999999998,-0.4399999999999999,0.0
greninja,shulk,0.6153846153846154,Char1_Wins,-9,-2,4,0,1,4,3,-24,-1,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucas,wii fit trainer,0.7142857142857143,Char1_Wins,-2,1,-1,-2,0,-3,-11,24,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kazuya,shulk,0.3333333333333333,Char2_Wins,16,-2,-3,18,1,-5,-3,-34,-4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,littlemac,0.4,Char2_Wins,1,4,0,3,1,9,-9,13,2,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ness,zero suit samus,0.6829268292682927,Char1_Wins,14,-4,-5,0,2,9,8,-7,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ryu,wolf,0.7058823529411765,Char1_Wins,11,-1,-2,3,1,-1,-8,-20,-2,1.0,11.0,-0.01,0.06,-0.4579999999999999,-0.1609999999999998,-0.1999999999999999,-0.3299999999999998,-0.0549999999999999
fox,ridley,0.6923076923076923,Char1_Wins,-30,-1,3,8,-1,-13,2,-21,-2,-1.0,-30.0,0.14,0.2019999999999999,0.4229999999999998,0.06,0.32,0.2899999999999998,0.0199999999999999
pichu,ryu,1.0,Char1_Wins,-41,5,2,-4,0,10,3,31,1,5.0,-41.0,0.02,0.2919999999999998,0.552,-0.0910000000000001,0.2999999999999998,0.2199999999999999,0.065
ike,steve,0.75,Char1_Wins,16,-2,2,-6,-2,-6,-8,-3,3,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pichu,samus,0.8,Char1_Wins,-46,3,1,8,-2,-10,-17,10,0,4.0,-46.0,0.065,0.238,0.187,-0.074,0.5699999999999998,0.1099999999999998,0.01
incineroar,zero suit samus,0.5,Char1_Wins,36,-7,-7,5,-1,0,6,-12,-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
littlemac,wolf,0.8181818181818182,Char1_Wins,-5,-4,3,-7,-1,-13,8,-18,-1,8.0,-5.0,-0.04,0.924,0.1779999999999999,-0.0729999999999999,0.1499999999999999,0.2750000000000003,-0.0499999999999999
lucas,wolf,0.5625,Char1_Wins,2,1,-1,-3,2,21,-2,8,1,4.0,2.0,-0.04,0.1099999999999998,-0.3149999999999999,-0.1259999999999999,-0.4299999999999999,-0.2749999999999999,0.005
littlemac,zero suit samus,0.5454545454545454,Char1_Wins,7,-8,0,-1,-1,-9,8,-23,-1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,wolf,0.6,Char1_Wins,-4,0,-2,-4,3,5,4,-1,-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,wii fit trainer,1.0,Char1_Wins,11,-1,0,-4,-1,-19,-12,18,2,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,littlemac,0.8,Char1_Wins,1,4,-5,3,4,18,-4,17,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corrin,roy,0.7777777777777778,Char1_Wins,3,0,-3,3,1,7,-8,12,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ness,pichu,0.5454545454545454,Char1_Wins,32,-4,-2,-5,1,-4,13,-13,2,1.0,32.0,-0.063,-0.2829999999999999,-0.395,-0.022,-0.5899999999999999,-0.1539999999999999,0.0
fox,kazuya,0.625,Char1_Wins,-36,-2,7,-11,0,5,6,-4,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloud,greninja,0.5757575757575758,Char1_Wins,12,-2,-2,6,0,15,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,pichu,0.6,Char1_Wins,15,-6,3,4,-1,-17,4,-30,-1,-7.0,15.0,0.09,0.5100000000000002,0.2209999999999998,0.0810000000000001,0.2000000000000001,0.1099999999999998,-0.01
pichu,ridley,0.7272727272727273,Char1_Wins,-45,5,0,4,0,4,-2,9,-1,6.0,-45.0,0.05,-0.3080000000000003,0.2019999999999999,-0.0210000000000001,0.1199999999999998,0.1799999999999999,0.03
fox,zero suit samus,0.5714285714285714,Char1_Wins,-3,-6,0,9,0,-4,-1,-24,-2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steve,wolf,0.5714285714285714,Char1_Wins,0,3,-4,3,1,-5,-4,-11,-1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samus,sheik,0.8333333333333334,Char1_Wins,30,-2,-4,-5,3,19,15,-11,1,3.0,30.0,-0.075,-0.766,-0.355,-0.052,-0.4199999999999999,-0.3079999999999998,0.0
sheik,sonic,0.6071428571428571,Char1_Wins,-8,0,-1,-2,1,-10,0,1,-1,-8.0,-8.0,0.06,-1.4300000000000002,0.026,-0.0529999999999999,0.1,-0.1320000000000001,0.0399999999999999
king dedede,zero suit samus,0.5,Char1_Wins,47,-2,-6,2,2,-3,11,-1,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isabelle,pikachu,0.6666666666666666,Char1_Wins,9,-4,-3,1,2,-11,12,-17,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rosalina & luma,zero suit samus,0.8333333333333334,Char1_Wins,2,-4,-3,0,2,18,0,-17,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ike,wario,0.9,Char1_Wins,0,-1,-1,-6,0,-11,-6,-24,4,-5.0,0.0,-0.015,-0.143,0.023,-0.137,0.0399999999999998,-0.022,-0.0699999999999999
isabelle,shulk,0.6,Char1_Wins,-9,-2,-1,0,4,13,8,-20,-3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shulk,zero suit samus,0.6153846153846154,Char1_Wins,17,-2,-4,2,-1,-4,-4,14,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pikachu,zero suit samus,0.5714285714285714,Char1_Wins,-1,0,-2,1,1,20,-8,11,-1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheik,wario,0.6666666666666666,Char1_Wins,-30,1,4,-7,1,0,3,2,0,-5.0,-29.0,0.043,0.77,0.581,-0.1159999999999998,0.1399999999999999,0.3409999999999999,-0.03
ike,sheik,0.4,Char2_Wins,30,-2,-5,1,-1,-11,-9,-26,4,0.0,29.0,-0.0579999999999999,-0.913,-0.5579999999999999,-0.0210000000000001,-0.1,-0.363,-0.0399999999999999
incineroar,luigi,0.5714285714285714,Char1_Wins,19,-1,-2,-9,-1,13,15,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steve,wario,0.5714285714285714,Char1_Wins,-16,1,-3,0,2,-5,2,-21,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luigi,ridley,0.4444444444444444,Char2_Wins,-10,-1,-2,13,-1,-22,-6,-14,-2,7.0,-10.0,-0.0069999999999999,-0.5500000000000003,0.0339999999999998,-0.28,-0.4599999999999999,0.0149999999999999,0.0049999999999999
fox,metaknight,0.6,Char1_Wins,-3,-6,2,2,1,2,4,-39,-2,-1.0,-3.0,0.12,0.3120000000000003,0.2839999999999998,0.07,0.4400000000000001,-0.121,0.015
greninja,palutena,0.64,Char1_Wins,-3,0,2,-1,-1,-11,-10,-10,1,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,samus,0.3846153846153846,Char2_Wins,-20,-1,4,5,-3,-23,-13,-6,2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,samus,0.6666666666666666,Char1_Wins,-31,-3,4,12,-3,-27,-13,-20,-1,-3.0,-31.0,0.155,0.7480000000000002,0.4079999999999999,0.0070000000000001,0.77,0.2199999999999997,0.0
cloud,jigglypuff,0.3,Char2_Wins,32,-1,4,2,1,13,13,-38,3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowser,jigglypuff,0.6,Char1_Wins,67,-1,4,-2,0,3,19,-40,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,megaman,0.7,Char1_Wins,1,-4,-1,13,-2,-23,9,-18,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,marth,0.8571428571428571,Char1_Wins,-2,-1,1,-1,1,-10,4,-12,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,robin,0.7857142857142857,Char1_Wins,-7,0,6,4,-3,-4,4,-1,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,wolf,0.6458333333333334,Char1_Wins,-4,0,3,-4,0,-4,-1,-5,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,megaman,0.6666666666666666,Char1_Wins,-14,-3,3,6,-3,-9,2,-8,2,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ike,peach,0.631578947368421,Char1_Wins,19,-1,0,-11,-3,-31,-13,-28,2,-3.0,18.0,0.0219999999999999,-0.088,-0.012,0.1049999999999999,0.4599999999999999,-0.0110000000000001,-0.0699999999999999
robin,wolf,0.6363636363636364,Char1_Wins,3,0,-3,-8,3,0,-5,-4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greninja,peach,0.6842105263157895,Char1_Wins,-1,-2,5,-12,-2,-24,-2,-19,1,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,wolf,0.6176470588235294,Char1_Wins,-3,2,-2,8,2,20,1,14,0,2.0,-3.0,-0.06,0.0549999999999999,-0.2839999999999999,-0.252,-0.6100000000000001,-0.2639999999999998,0.03
greninja,ike,0.5714285714285714,Char1_Wins,-20,-1,5,-1,1,7,11,9,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jigglypuff,megaman,0.4,Char2_Wins,-34,-4,-3,10,-4,-7,-10,30,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ike,jigglypuff,0.8333333333333334,Char1_Wins,40,2,1,-3,0,-9,1,-47,3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,robin,0.625,Char1_Wins,-6,2,1,16,-1,20,6,18,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piranha plant,ridley,0.8,Char1_Wins,5,0,-2,1,1,10,4,-6,-1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,zero suit samus,0.6,Char1_Wins,27,-5,-3,1,1,9,-3,-3,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridley,wolf,0.6666666666666666,Char1_Wins,15,-1,0,-5,1,5,-3,2,0,0.0,15.0,-0.04,0.6600000000000001,-0.1079999999999998,-0.2309999999999998,-0.02,-0.2899999999999998,-0.0199999999999999
diddy kong,zero suit samus,0.5454545454545454,Char1_Wins,10,-3,-2,1,2,16,-9,-18,-1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,piranha plant,0.6,Char1_Wins,-22,2,3,-1,0,-3,-10,-9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kazuya,toon link,0.5454545454545454,Char1_Wins,22,-1,-4,21,-3,-22,-11,-11,-3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero suit samus,zero suit samus,0.2962962962962963,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,sonic,0.7045454545454546,Char1_Wins,4,-2,-3,-3,3,2,-6,-24,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corrin,snake,0.8181818181818182,Char1_Wins,-8,-3,1,14,-3,-10,9,11,4,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,robin,0.8,Char1_Wins,-2,3,3,4,-2,6,-4,23,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucina,zero suit samus,0.56,Char1_Wins,10,-3,-1,2,-1,14,-1,2,2,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,ken,0.5,Char1_Wins,-26,-1,4,0,-1,10,-7,-4,0,-3.0,-26.0,0.11,0.6420000000000001,0.698,-0.01,0.5,0.1539999999999999,0.0549999999999999
diddy kong,palutena,0.7142857142857143,Char1_Wins,-1,1,0,-2,1,5,-18,-18,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucas,palutena,0.5882352941176471,Char1_Wins,3,1,-2,0,1,14,-11,3,1,1.0,3.0,-0.03,-0.427,-0.3779999999999999,0.155,-0.1799999999999999,-0.2200000000000002,-0.02
diddy kong,hero,0.5,Char1_Wins,-11,-1,2,2,0,14,-4,-7,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,lucina,0.8181818181818182,Char1_Wins,-13,-3,1,7,1,-18,0,-26,-4,0.0,-13.0,0.155,0.4380000000000001,-0.052,0.0390000000000001,0.52,-0.165,0.0099999999999999
corrin,palutena,0.7857142857142857,Char1_Wins,7,-1,-2,5,-1,-7,-15,-4,2,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,lucas,0.5833333333333334,Char1_Wins,-1,2,1,-1,-1,-15,-7,11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hero,lucas,0.5714285714285714,Char1_Wins,7,1,0,-4,0,-23,-3,-14,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hero,palutena,0.7058823529411765,Char1_Wins,10,2,-2,-4,1,-9,-14,-11,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diddy kong,ice climbers,0.7142857142857143,Char1_Wins,-2,2,4,-14,2,3,-14,8,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palutena,sonic,0.6666666666666666,Char1_Wins,5,-3,-3,-1,2,-3,12,-6,1,-4.0,5.0,0.03,-1.773,-0.173,-0.2079999999999999,-0.0999999999999998,-0.2749999999999999,0.065
robin,sheik,0.5714285714285714,Char1_Wins,17,-3,-6,-4,3,0,-2,-16,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice climbers,ness,0.6,Char1_Wins,-2,-1,-1,15,-2,4,-3,-19,-1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palutena,wario,0.5294117647058824,Char1_Wins,-17,-2,2,-6,2,7,15,-5,2,-1.0,-16.0,0.0129999999999999,0.427,0.3819999999999999,-0.2709999999999999,-0.06,0.1980000000000001,-0.0049999999999999
diddy kong,sheik,0.5,Char1_Wins,12,-2,-2,-1,2,12,-6,-25,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,zero suit samus,0.6136363636363636,Char1_Wins,23,-5,-4,9,1,-14,6,-20,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ken,sheik,0.5384615384615384,Char1_Wins,25,-4,-4,7,1,-18,9,-27,0,3.0,25.0,-0.03,-0.6599999999999999,-0.645,-0.0349999999999999,-0.1499999999999999,-0.242,-0.0549999999999999
lucina,sheik,0.4666666666666667,Char2_Wins,12,-2,-1,0,-1,10,2,-5,4,0.0,12.0,-0.075,-0.4559999999999999,0.1049999999999999,-0.084,-0.1699999999999999,0.0769999999999999,-0.0099999999999999
lucas,lucina,0.5,Char1_Wins,4,0,-3,1,3,11,-1,1,-1,5.0,4.0,0.015,-0.314,-0.6819999999999999,0.084,-0.2099999999999999,-0.4399999999999999,0.015
hero,lucina,0.8571428571428571,Char1_Wins,11,1,-3,-3,3,-12,-4,-13,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pokemon trainer,terry,0.6666666666666666,Char1_Wins,-12,4,2,-4,1,7,-12,29,2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheik,wolf,0.7692307692307693,Char1_Wins,-14,3,3,-4,0,0,-3,12,-2,-1.0,-14.0,0.0199999999999999,0.8799999999999999,0.262,-0.1259999999999999,-0.05,0.088,0.0
ice climbers,joker,0.8,Char1_Wins,-1,-4,-3,13,-1,3,14,-40,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucas,snake,0.7058823529411765,Char1_Wins,-12,-1,1,9,-1,11,13,18,3,-4.0,-12.0,0.0099999999999999,0.0549999999999999,0.011,0.168,-0.3599999999999999,0.0549999999999999,0.065
hero,jigglypuff,1.0,Char1_Wins,33,3,2,-7,3,0,8,-39,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palutena,sheik,0.4615384615384615,Char2_Wins,13,-3,-2,1,1,7,12,-7,2,4.0,13.0,-0.03,-0.3429999999999999,-0.199,-0.155,-0.1999999999999999,-0.1429999999999998,0.025
ice climbers,palutena,0.4615384615384615,Char2_Wins,1,-1,-4,12,-1,2,-4,-26,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,kirby,0.6,Char1_Wins,14,5,2,-3,2,-9,0,21,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pokemon trainer,rosalina & luma,0.5714285714285714,Char1_Wins,14,2,0,8,-1,-11,-6,28,-1,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kirby,wolf,0.7083333333333334,Char1_Wins,-13,-2,-2,-1,-1,15,-9,-2,-1,0.0,-13.0,-0.066,0.187,-0.2309999999999999,-0.4409999999999999,-0.5700000000000001,-0.1899999999999999,0.005
jigglypuff,sheik,0.4,Char2_Wins,-10,-4,-6,4,-1,-2,-10,21,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice climbers,sheik,0.75,Char1_Wins,14,-4,-6,13,0,9,8,-33,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,rosalina & luma,0.6,Char1_Wins,11,3,0,2,-1,-8,-9,31,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,ridley,0.7692307692307693,Char1_Wins,-14,4,0,1,0,1,-6,17,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palutena,shulk,0.5365853658536586,Char1_Wins,-6,-2,2,1,2,15,13,-14,-2,-3.0,-6.0,0.0219999999999999,0.405,0.1159999999999998,-0.1129999999999999,-0.03,0.165,0.065
jigglypuff,snake,0.7857142857142857,Char1_Wins,-38,-3,-1,12,-4,-12,2,43,1,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toon link,zero suit samus,0.68,Char1_Wins,11,-3,-3,-1,3,13,4,-9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,ness,0.5116279069767442,Char1_Wins,-17,-2,5,9,-2,-13,-9,-17,-3,-8.0,-17.0,0.153,0.7930000000000001,0.6159999999999999,0.1030000000000002,0.79,0.2639999999999998,-0.01
chrom,pichu,0.3333333333333333,Char2_Wins,33,-7,2,-3,-2,-16,14,-16,2,-6.0,33.0,-0.026,0.2530000000000001,-0.094,0.2730000000000001,-0.0999999999999998,0.2200000000000002,-0.05
sora,zero suit samus,0.5833333333333334,Char1_Wins,5,-1,-5,3,1,14,-3,-11,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palutena,snake,0.6530612244897959,Char1_Wins,-15,-2,3,9,-2,-3,24,15,2,-5.0,-15.0,0.0399999999999999,0.482,0.3889999999999999,0.013,-0.1799999999999999,0.2750000000000001,0.085
banjo & kazooie,wolf,0.6363636363636364,Char1_Wins,14,-1,-1,-8,3,13,-4,-2,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corrin,zelda,0.8333333333333334,Char1_Wins,13,-3,1,12,-3,7,-11,7,3,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megaman,pyra mythra,0.7,Char1_Wins,7,5,-3,-8,3,-10,-4,12,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloud,shulk,0.5833333333333334,Char1_Wins,3,-4,2,6,1,19,4,-24,0,-5.0,3.0,0.0,0.4949999999999999,0.0,0.042,0.0999999999999998,0.2749999999999999,0.02
peach,zero suit samus,0.85,Char1_Wins,9,-2,-5,14,2,24,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,snake,0.4339622641509434,Char2_Wins,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banjo & kazooie,pyra mythra,0.6,Char1_Wins,11,1,-4,-6,3,-2,-5,7,-2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,sonic,0.6923076923076923,Char1_Wins,3,-1,-6,10,3,10,4,3,1,-5.0,3.0,-0.0199999999999999,-2.255,-0.5199999999999999,-0.179,-0.4599999999999999,-0.484,0.0699999999999999
villager,zero suit samus,0.6756756756756757,Char1_Wins,12,-4,-5,-5,3,1,3,10,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaknight,pokemon trainer,0.7142857142857143,Char1_Wins,-16,2,1,-1,-2,-13,1,4,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheik,toon link,0.8,Char1_Wins,-13,2,3,3,-3,-9,-7,16,-3,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,pichu,0.5294117647058824,Char1_Wins,31,-1,0,-3,0,-3,-4,8,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pokemon trainer,zero suit samus,0.7906976744186046,Char1_Wins,16,-2,-3,8,1,7,-6,11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,toon link,0.5769230769230769,Char1_Wins,2,2,0,3,-2,-3,-13,23,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joker,sonic,0.6341463414634146,Char1_Wins,7,0,-4,-2,2,-4,-6,8,2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,young link,0.7894736842105263,Char1_Wins,16,-1,-1,-6,0,-15,5,5,0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
