character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate,char1_normalized,char2_normalized,id_char1,weight_char1,recovery_char1,speed_char1,combo_game_char1,projectiles_char1,killpower_char1,ledgetrap_char1,edgeguard_char1,spacing_char1,cheese_char1,popularity_char1,pro_scene_char1,online_winrate_char1,easy_char1,id_char2,weight_char2,recovery_char2,speed_char2,combo_game_char2,projectiles_char2,killpower_char2,ledgetrap_char2,edgeguard_char2,spacing_char2,cheese_char2,popularity_char2,pro_scene_char2,online_winrate_char2,easy_char2,weight_diff,recovery_diff,speed_diff,combo_game_diff,projectiles_diff,killpower_diff,ledgetrap_diff,edgeguard_diff,spacing_diff,cheese_diff
littlemac,shulk,5,5,10,0.5,Little Mac,Shulk,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,-10,-6,4,-3,0,-5,12,-37,-3,2.0
kirby,wii fit trainer,3,2,5,0.6,Kirby,Wii Fit Trainer,6,79,3,3,31,1,144,8,20,2,2.0,13000,3.633,43.34,2.623533333,47,96,5,5,31,4,153,26,6,1,6.0,12000,4.553,54.15,4.331466667,-17,-2,-2,0,-3,-9,-18,14,1,-4.0
littlemac,ryu,6,0,6,1.0,Little Mac,Ryu,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,-16,-3,5,-10,-2,-12,16,2,1,7.0
pichu,sonic,12,8,20,0.6,Pichu,Sonic,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,-24,1,-4,1,2,-1,-2,0,0,-1.0
ryu,shulk,4,3,7,0.5714285714285714,Ryu,Shulk,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,6,-3,-1,7,2,7,-4,-39,-4,-5.0
cloud,littlemac,13,4,17,0.7647058823529411,Cloud,Little Mac,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,13,2,-2,9,1,24,-8,13,3,-7.0
isabelle,pichu,5,2,7,0.7142857142857143,Isabelle,Pichu,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,26,-4,-2,-3,2,-4,9,-12,0,-1.0
shulk,sonic,13,5,18,0.7222222222222222,Shulk,Sonic,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,11,-1,-5,-2,0,-18,-1,8,3,-1.0
greninja,shulk,8,5,13,0.6153846153846154,Greninja,Shulk,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,-9,-2,4,0,1,4,3,-24,-1,-7.0
lucas,wii fit trainer,5,2,7,0.7142857142857143,Lucas,Wii Fit Trainer,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,47,96,5,5,31,4,153,26,6,1,6.0,12000,4.553,54.15,4.331466667,-2,1,-1,-2,0,-3,-11,24,3,0.0
kazuya,shulk,2,4,6,0.3333333333333333,Kazuya,Shulk,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,16,-2,-3,18,1,-5,-3,-34,-4,2.0
greninja,littlemac,2,3,5,0.4,Greninja,Little Mac,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,1,4,0,3,1,9,-9,13,2,-9.0
ness,zero suit samus,28,13,41,0.6829268292682927,Ness,Zero Suit Samus,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,14,-4,-5,0,2,9,8,-7,1,5.0
ryu,wolf,12,5,17,0.7058823529411765,Ryu,Wolf,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,11,-1,-2,3,1,-1,-8,-20,-2,1.0
fox,ridley,9,4,13,0.6923076923076923,Fox,Ridley,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,-30,-1,3,8,-1,-13,2,-21,-2,-1.0
pichu,ryu,6,0,6,1.0,Pichu,Ryu,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,60,103,4,3,35,3,128,9,2,1,3.0,5700,6.981,53.04,5.48595,-41,5,2,-4,0,10,3,31,1,5.0
ike,steve,6,2,8,0.75,Ike,Steve,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,16,-2,2,-6,-2,-6,-8,-3,3,-9.0
pichu,samus,4,1,5,0.8,Pichu,Samus,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-46,3,1,8,-2,-10,-17,10,0,4.0
incineroar,zero suit samus,3,3,6,0.5,Incineroar,Zero Suit Samus,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,36,-7,-7,5,-1,0,6,-12,-1,5.0
littlemac,wolf,9,2,11,0.8181818181818182,Little Mac,Wolf,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,-5,-4,3,-7,-1,-13,8,-18,-1,8.0
lucas,wolf,9,7,16,0.5625,Lucas,Wolf,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,2,1,-1,-3,2,21,-2,8,1,4.0
littlemac,zero suit samus,6,5,11,0.5454545454545454,Little Mac,Zero Suit Samus,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,7,-8,0,-1,-1,-9,8,-23,-1,6.0
isabelle,wolf,9,6,15,0.6,Isabelle,Wolf,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,-4,0,-2,-4,3,5,4,-1,-1,5.0
ridley,wii fit trainer,5,0,5,1.0,Ridley,Wii Fit Trainer,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,47,96,5,5,31,4,153,26,6,1,6.0,12000,4.553,54.15,4.331466667,11,-1,0,-4,-1,-19,-12,18,2,-4.0
isabelle,littlemac,4,1,5,0.8,Isabelle,Little Mac,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,49,87,1,8,25,1,116,25,4,2,10.0,18000,2.275,48.23,2.80305,1,4,-5,3,4,18,-4,17,0,-3.0
corrin,roy,7,2,9,0.7777777777777778,Corrin,Roy,62,98,4,4,34,2,129,11,23,5,1.0,8500,7.382,43.97,3.48005,25,95,4,7,31,1,122,19,11,4,3.0,18400,8.077,42.01,3.262383333,3,0,-3,3,1,7,-8,12,1,-2.0
ness,pichu,12,10,22,0.5454545454545454,Ness,Pichu,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,32,-4,-2,-5,1,-4,13,-13,2,1.0
fox,kazuya,5,3,8,0.625,Fox,Kazuya,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,-36,-2,7,-11,0,5,6,-4,0,-9.0
cloud,greninja,19,14,33,0.5757575757575758,Cloud,Greninja,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,12,-2,-2,6,0,15,1,0,1,2.0
fox,pichu,9,6,15,0.6,Fox,Pichu,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,15,-6,3,4,-1,-17,4,-30,-1,-7.0
pichu,ridley,8,3,11,0.7272727272727273,Pichu,Ridley,19,62,9,5,31,3,138,12,33,2,8.0,5500,5.28,46.68,4.8463,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,-45,5,0,4,0,4,-2,9,-1,6.0
fox,zero suit samus,24,18,42,0.5714285714285714,Fox,Zero Suit Samus,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,-3,-6,0,9,0,-4,-1,-24,-2,-3.0
steve,wolf,4,3,7,0.5714285714285714,Steve,Wolf,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,0,3,-4,3,1,-5,-4,-11,-1,8.0
samus,sheik,5,1,6,0.8333333333333334,Samus,Sheik,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,30,-2,-4,-5,3,19,15,-11,1,3.0
sheik,sonic,17,11,28,0.6071428571428571,Sheik,Sonic,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,-8,0,-1,-2,1,-10,0,1,-1,-8.0
king dedede,zero suit samus,10,10,20,0.5,King Dedede,Zero Suit Samus,39,127,7,2,28,4,122,28,26,5,10.0,23200,3.009,54.63,2.985166667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,47,-2,-6,2,2,-3,11,-1,2,6.0
isabelle,pikachu,6,3,9,0.6666666666666666,Isabelle,Pikachu,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,9,-4,-3,1,2,-11,12,-17,0,-1.0
rosalina & luma,zero suit samus,5,1,6,0.8333333333333334,Rosalina & Luma,Zero Suit Samus,48,82,5,5,26,4,143,17,10,4,8.0,6100,6.364,51.26,5.343966667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,2,-4,-3,0,2,18,0,-17,1,4.0
ike,wario,9,1,10,0.9,Ike,Wario,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,0,-1,-1,-6,0,-11,-6,-24,4,-5.0
isabelle,shulk,6,4,10,0.6,Isabelle,Shulk,68,88,5,3,28,5,134,21,21,2,7.0,9000,4.12,52.89,3.70535,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,-9,-2,-1,0,4,13,8,-20,-3,-1.0
shulk,zero suit samus,16,10,26,0.6153846153846154,Shulk,Zero Suit Samus,57,97,7,4,28,1,121,13,41,5,8.0,6500,7.558,47.24,5.4805,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,17,-2,-4,2,-1,-4,-4,14,2,4.0
pikachu,zero suit samus,24,18,42,0.5714285714285714,Pikachu,Zero Suit Samus,8,79,9,6,27,3,145,9,38,2,8.0,17300,8.123,46.48,4.85095,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,-1,0,-2,1,1,20,-8,11,-1,4.0
sheik,wario,4,2,6,0.6666666666666666,Sheik,Wario,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-30,1,4,-7,1,0,3,2,0,-5.0
ike,sheik,4,6,10,0.4,Ike,Sheik,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,30,-2,-5,1,-1,-11,-9,-26,4,0.0
incineroar,luigi,4,3,7,0.5714285714285714,Incineroar,Luigi,69,116,2,1,31,1,125,23,15,2,9.0,15600,5.45,50.46,3.262866667,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,19,-1,-2,-9,-1,13,15,5,1,0.0
steve,wario,4,3,7,0.5714285714285714,Steve,Wario,77,92,8,1,35,3,124,13,11,2,10.0,44100,10.474,60.04,5.2954,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-16,1,-3,0,2,-5,2,-21,1,4.0
luigi,ridley,4,5,9,0.4444444444444444,Luigi,Ridley,9,97,3,3,40,2,112,8,10,1,9.0,23200,6.593,54.51,4.44425,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,-10,-1,-2,13,-1,-22,-6,-14,-2,7.0
fox,metaknight,6,4,10,0.6,Fox,Meta Knight,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,27,80,9,6,33,1,119,12,42,3,2.0,5500,5.792,49.29,4.4992,-3,-6,2,2,1,2,4,-39,-2,-1.0
greninja,palutena,16,9,25,0.64,Greninja,Palutena,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,-3,0,2,-1,-1,-11,-10,-10,1,-4.0
greninja,samus,5,8,13,0.3846153846153846,Greninja,Samus,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-20,-1,4,5,-3,-23,-13,-6,2,-3.0
fox,samus,10,5,15,0.6666666666666666,Fox,Samus,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,4,108,6,4,23,5,148,29,23,2,4.0,24000,8.262,51.32,3.338766667,-31,-3,4,12,-3,-27,-13,-20,-1,-3.0
cloud,jigglypuff,3,7,10,0.3,Cloud,Jigglypuff,61,100,3,6,34,2,140,17,17,5,3.0,35000,8.537,47.21,2.721016667,12,68,4,2,32,1,127,4,55,2,4.0,21300,4.992,42.86,3.971116667,32,-1,4,2,1,13,13,-38,3,-1.0
bowser,jigglypuff,3,2,5,0.6,Bowser,Jigglypuff,14,135,3,6,30,1,130,23,15,3,8.0,27000,5.003,48.49,2.299866667,12,68,4,2,32,1,127,4,55,2,4.0,21300,4.992,42.86,3.971116667,67,-1,4,-2,0,3,19,-40,1,4.0
ken,megaman,7,3,10,0.7,Ken,Megaman,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,46,102,8,5,22,5,134,14,25,2,5.0,7500,6.163,50.75,4.9315,1,-4,-1,13,-2,-23,9,-18,-1,-1.0
greninja,marth,6,1,7,0.8571428571428571,Greninja,Marth,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,21,90,6,7,29,1,135,12,29,5,2.0,6000,5.199,41.05,4.2565,-2,-1,1,-1,1,-10,4,-12,-1,-1.0
greninja,robin,11,3,14,0.7857142857142857,Greninja,Robin,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,-7,0,6,4,-3,-4,4,-1,0,-2.0
greninja,wolf,31,17,48,0.6458333333333334,Greninja,Wolf,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,-4,0,3,-4,0,-4,-1,-5,1,-1.0
greninja,megaman,8,4,12,0.6666666666666666,Greninja,Megaman,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,46,102,8,5,22,5,134,14,25,2,5.0,7500,6.163,50.75,4.9315,-14,-3,3,6,-3,-9,2,-8,2,-4.0
ike,peach,12,7,19,0.631578947368421,Ike,Peach,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,19,-1,0,-11,-3,-31,-13,-28,2,-3.0
robin,wolf,14,8,22,0.6363636363636364,Robin,Wolf,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,3,0,-3,-8,3,0,-5,-4,1,1.0
greninja,peach,13,6,19,0.6842105263157895,Greninja,Peach,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,-1,-2,5,-12,-2,-24,-2,-19,1,-3.0
peach,wolf,21,13,34,0.6176470588235294,Peach,Wolf,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,-3,2,-2,8,2,20,1,14,0,2.0
greninja,ike,12,9,21,0.5714285714285714,Greninja,Ike,50,88,5,8,28,2,125,16,17,4,1.0,12300,6.89,51.67,4.706483333,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,-20,-1,5,-1,1,7,11,9,-1,0.0
jigglypuff,megaman,2,3,5,0.4,Jigglypuff,Megaman,12,68,4,2,32,1,127,4,55,2,4.0,21300,4.992,42.86,3.971116667,46,102,8,5,22,5,134,14,25,2,5.0,7500,6.163,50.75,4.9315,-34,-4,-3,10,-4,-7,-10,30,0,-1.0
ike,jigglypuff,5,1,6,0.8333333333333334,Ike,Jigglypuff,32,108,6,3,29,1,118,5,8,5,1.0,17300,3.829,56.55,2.592116667,12,68,4,2,32,1,127,4,55,2,4.0,21300,4.992,42.86,3.971116667,40,2,1,-3,0,-9,1,-47,3,-3.0
peach,robin,5,3,8,0.625,Peach,Robin,13,89,7,3,40,4,149,18,36,3,4.0,8900,9.04,50.22,5.915266667,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,-6,2,1,16,-1,20,6,18,-1,1.0
piranha plant,ridley,4,1,5,0.8,Piranha Plant,Ridley,70,112,4,3,28,4,144,18,18,2,6.0,9300,3.402,46.99,3.6618,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,5,0,-2,1,1,10,4,-6,-1,4.0
ridley,zero suit samus,6,4,10,0.6,Ridley,Zero Suit Samus,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,27,-5,-3,1,1,9,-3,-3,0,-2.0
ridley,wolf,18,9,27,0.6666666666666666,Ridley,Wolf,65,107,4,5,27,3,134,14,24,3,2.0,10500,4.521,47.78,3.290333333,44,92,5,5,32,2,129,17,22,3,2.0,24000,7.856,45.69,3.151666667,15,-1,0,-5,1,5,-3,2,0,0.0
diddy kong,zero suit samus,18,15,33,0.5454545454545454,Diddy Kong,Zero Suit Samus,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,10,-3,-2,1,2,16,-9,-18,-1,3.0
diddy kong,piranha plant,3,2,5,0.6,Diddy Kong,Piranha Plant,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,70,112,4,3,28,4,144,18,18,2,6.0,9300,3.402,46.99,3.6618,-22,2,3,-1,0,-3,-10,-9,0,1.0
kazuya,toon link,6,5,11,0.5454545454545454,Kazuya,Toon Link,80,113,5,1,46,2,116,10,7,1,10.0,22100,8.638,53.49,5.6807,43,91,6,5,25,5,138,21,18,4,4.0,9000,6.249,51.7,3.5799,22,-1,-4,21,-3,-22,-11,-11,-3,6.0
zero suit samus,zero suit samus,8,19,27,0.2962962962962963,Zero Suit Samus,Zero Suit Samus,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,0,0,0,0,0,0,0,0,0,0.0
diddy kong,sonic,31,13,44,0.7045454545454546,Diddy Kong,Sonic,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,4,-2,-3,-3,3,2,-6,-24,0,-2.0
corrin,snake,9,2,11,0.8181818181818182,Corrin,Snake,62,98,4,4,34,2,129,11,23,5,1.0,8500,7.382,43.97,3.48005,31,106,7,3,20,5,139,2,12,1,10.0,22500,9.698,58.57,5.0671,-8,-3,1,14,-3,-10,9,11,4,-9.0
joker,robin,8,2,10,0.8,Joker,Robin,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,-2,3,3,4,-2,6,-4,23,0,4.0
lucina,zero suit samus,14,11,25,0.56,Lucina,Zero Suit Samus,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,10,-3,-1,2,-1,14,-1,2,2,-3.0
fox,ken,10,10,20,0.5,Fox,Ken,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,-26,-1,4,0,-1,10,-7,-4,0,-3.0
diddy kong,palutena,35,14,49,0.7142857142857143,Diddy Kong,Palutena,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,-1,1,0,-2,1,5,-18,-18,-1,2.0
lucas,palutena,10,7,17,0.5882352941176471,Lucas,Palutena,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,3,1,-2,0,1,14,-11,3,1,1.0
diddy kong,hero,3,3,6,0.5,Diddy Kong,Hero,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,72,101,7,4,25,4,127,12,16,5,10.0,19200,6.348,51.1,3.719466667,-11,-1,2,2,0,14,-4,-7,-3,-3.0
fox,lucina,18,4,22,0.8181818181818182,Fox,Lucina,7,77,3,8,35,2,121,16,3,1,1.0,12000,9.019,46.55,4.830266667,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,-13,-3,1,7,1,-18,0,-26,-4,0.0
corrin,palutena,11,3,14,0.7857142857142857,Corrin,Palutena,62,98,4,4,34,2,129,11,23,5,1.0,8500,7.382,43.97,3.48005,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,7,-1,-2,5,-1,-7,-15,-4,2,-4.0
joker,lucas,7,5,12,0.5833333333333334,Joker,Lucas,71,93,8,5,28,3,135,8,41,4,7.0,31000,8.827,41.78,4.3803,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,-1,2,1,-1,-1,-15,-7,11,0,1.0
hero,lucas,4,3,7,0.5714285714285714,Hero,Lucas,72,101,7,4,25,4,127,12,16,5,10.0,19200,6.348,51.1,3.719466667,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,7,1,0,-4,0,-23,-3,-14,1,4.0
hero,palutena,12,5,17,0.7058823529411765,Hero,Palutena,72,101,7,4,25,4,127,12,16,5,10.0,19200,6.348,51.1,3.719466667,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,10,2,-2,-4,1,-9,-14,-11,2,5.0
diddy kong,ice climbers,5,2,7,0.7142857142857143,Diddy Kong,Ice Climbers,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,15,92,4,2,41,2,138,22,1,3,7.0,6000,5.505,50.91,6.206133333,-2,2,4,-14,2,3,-14,8,-1,0.0
palutena,sonic,46,23,69,0.6666666666666666,Palutena,Sonic,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,38,86,8,9,30,1,139,14,33,2,9.0,23600,10.315,53.54,3.268183333,5,-3,-3,-1,2,-3,12,-6,1,-4.0
robin,sheik,4,3,7,0.5714285714285714,Robin,Sheik,56,95,5,2,24,5,129,12,18,4,3.0,13500,4.206,57.5,4.72365,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,17,-3,-6,-4,3,0,-2,-16,3,2.0
ice climbers,ness,3,2,5,0.6,Ice Climbers,Ness,15,92,4,2,41,2,138,22,1,3,7.0,6000,5.505,50.91,6.206133333,10,94,5,3,26,4,134,25,20,4,9.0,33200,6.174,52.6,3.4145,-2,-1,-1,15,-2,4,-3,-19,-1,-2.0
palutena,wario,18,16,34,0.5294117647058824,Palutena,Wario,54,91,5,6,29,3,136,26,27,3,5.0,26600,8.143,52.44,2.69545,30,108,7,4,35,1,129,11,32,1,6.0,8200,8.031,45.54,4.354116667,-17,-2,2,-6,2,7,15,-5,2,-1.0
diddy kong,sheik,9,9,18,0.5,Diddy Kong,Sheik,36,90,6,6,27,4,141,8,9,2,7.0,11000,8.87,49.98,4.6932,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,12,-2,-2,-1,2,12,-6,-25,1,6.0
ken,zero suit samus,27,17,44,0.6136363636363636,Ken,Zero Suit Samus,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,29,80,9,8,26,2,125,17,27,3,4.0,11000,7.302,44.36,5.009716667,23,-5,-4,9,1,-14,6,-20,-2,0.0
ken,sheik,7,6,13,0.5384615384615384,Ken,Sheik,600,103,4,4,35,3,111,23,7,1,4.0,9000,6.319,55.99,5.498233333,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,25,-4,-4,7,1,-18,9,-27,0,3.0
lucina,sheik,7,8,15,0.4666666666666667,Lucina,Sheik,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,16,78,8,8,28,2,129,14,34,1,1.0,4000,7.115,37.54,5.843616667,12,-2,-1,0,-1,10,2,-5,4,0.0
lucas,lucina,10,10,20,0.5,Lucas,Lucina,37,94,6,4,29,4,150,15,30,4,6.0,14500,4.773,52.91,3.9585,210,90,6,7,28,1,139,16,29,5,1.0,13700,7.366,38.32,2.65445,4,0,-3,1,3,11,-1,1,-1,5.0
